maquina,version,variante,p,t,N,k,B,repeticion,tiempo_s
DESKTOP-FUSRFCI,numpy,pesos_densos,10,0,100000,300,48,1,5.157121
DESKTOP-FUSRFCI,numpy,pesos_densos,10,0,100000,300,48,2,5.102819
DESKTOP-FUSRFCI,numpy,pesos_densos,11,0,100000,300,48,0,4.697064
DESKTOP-FUSRFCI,numpy,pesos_densos,11,0,100000,300,48,1,4.733072
DESKTOP-FUSRFCI,numpy,pesos_densos,11,0,100000,300,48,2,4.741027
DESKTOP-FUSRFCI,numpy,pesos_densos,12,0,100000,300,48,0,5.255272
DESKTOP-FUSRFCI,numpy,pesos_densos,12,0,100000,300,48,1,5.052411
DESKTOP-FUSRFCI,numpy,pesos_densos,12,0,100000,300,48,2,5.058974
DESKTOP-FUSRFCI,numpy,pesos_densos,13,0,100000,300,48,0,4.719130
DESKTOP-FUSRFCI,numpy,pesos_densos,13,0,100000,300,48,1,4.715792
DESKTOP-FUSRFCI,numpy,pesos_densos,13,0,100000,300,48,2,4.854711
DESKTOP-FUSRFCI,numpy,pesos_densos,14,0,100000,300,48,0,5.206333
DESKTOP-FUSRFCI,numpy,pesos_densos,14,0,100000,300,48,1,5.188059
DESKTOP-FUSRFCI,numpy,pesos_densos,14,0,100000,300,48,2,4.937475
DESKTOP-FUSRFCI,numpy,pesos_densos,15,0,100000,300,48,0,5.059301
DESKTOP-FUSRFCI,numpy,pesos_densos,15,0,100000,300,48,1,5.018183
DESKTOP-FUSRFCI,numpy,pesos_densos,15,0,100000,300,48,2,5.381075
DESKTOP-FUSRFCI,numpy,pesos_densos,16,0,100000,300,48,0,4.774315
DESKTOP-FUSRFCI,numpy,pesos_densos,16,0,100000,300,48,1,5.121262
DESKTOP-FUSRFCI,numpy,pesos_densos,16,0,100000,300,48,2,4.880774
DESKTOP-FUSRFCI,numpy,pesos,1,0,100000,300,48,0,4.508991
DESKTOP-FUSRFCI,numpy,pesos,1,0,100000,300,48,1,4.669838
DESKTOP-FUSRFCI,numpy,pesos,1,0,100000,300,48,2,4.803890
DESKTOP-FUSRFCI,numpy,pesos,2,0,100000,300,48,0,4.713903
DESKTOP-FUSRFCI,numpy,pesos,2,0,100000,300,48,1,4.536934
DESKTOP-FUSRFCI,numpy,pesos,2,0,100000,300,48,2,4.470939
DESKTOP-FUSRFCI,numpy,pesos,3,0,100000,300,48,0,3.465519
DESKTOP-FUSRFCI,numpy,pesos,3,0,100000,300,48,1,3.599191
DESKTOP-FUSRFCI,numpy,pesos,3,0,100000,300,48,2,3.888557
DESKTOP-FUSRFCI,numpy,pesos,4,0,100000,300,48,0,3.428081
DESKTOP-FUSRFCI,numpy,pesos,4,0,100000,300,48,1,3.403372
DESKTOP-FUSRFCI,numpy,pesos,4,0,100000,300,48,2,3.422059
DESKTOP-FUSRFCI,numpy,pesos,5,0,100000,300,48,0,2.963252
DESKTOP-FUSRFCI,numpy,pesos,5,0,100000,300,48,1,3.070864
DESKTOP-FUSRFCI,numpy,pesos,5,0,100000,300,48,2,2.956161
DESKTOP-FUSRFCI,numpy,pesos,6,0,100000,300,48,0,2.893504
DESKTOP-FUSRFCI,numpy,pesos,6,0,100000,300,48,1,2.920843
DESKTOP-FUSRFCI,numpy,pesos,6,0,100000,300,48,2,3.066073
DESKTOP-FUSRFCI,numpy,pesos,7,0,100000,300,48,0,3.106582
DESKTOP-FUSRFCI,numpy,pesos,7,0,100000,300,48,1,3.203398
DESKTOP-FUSRFCI,numpy,pesos,7,0,100000,300,48,2,3.141842
DESKTOP-FUSRFCI,numpy,pesos,8,0,100000,300,48,0,2.998626
DESKTOP-FUSRFCI,numpy,pesos,8,0,100000,300,48,1,2.971878
DESKTOP-FUSRFCI,numpy,pesos,8,0,100000,300,48,2,3.046382
DESKTOP-FUSRFCI,numpy,pesos,9,0,100000,300,48,0,2.732699
DESKTOP-FUSRFCI,numpy,pesos,9,0,100000,300,48,1,2.788348
DESKTOP-FUSRFCI,numpy,pesos,9,0,100000,300,48,2,2.936803
DESKTOP-FUSRFCI,numpy,pesos,10,0,100000,300,48,0,3.006627
DESKTOP-FUSRFCI,numpy,pesos,10,0,100000,300,48,1,2.933548
DESKTOP-FUSRFCI,numpy,pesos,10,0,100000,300,48,2,2.911714
DESKTOP-FUSRFCI,numpy,pesos,11,0,100000,300,48,0,2.810120
DESKTOP-FUSRFCI,numpy,pesos,11,0,100000,300,48,1,2.811750
DESKTOP-FUSRFCI,numpy,pesos,11,0,100000,300,48,2,2.802417
DESKTOP-FUSRFCI,numpy,pesos,12,0,100000,300,48,0,3.080512
DESKTOP-FUSRFCI,numpy,pesos,12,0,100000,300,48,1,3.042161
DESKTOP-FUSRFCI,numpy,pesos,12,0,100000,300,48,2,2.987093
DESKTOP-FUSRFCI,numpy,pesos,13,0,100000,300,48,0,3.190799
DESKTOP-FUSRFCI,numpy,pesos,13,0,100000,300,48,1,3.135378
DESKTOP-FUSRFCI,numpy,pesos,13,0,100000,300,48,2,3.125869
DESKTOP-FUSRFCI,numpy,pesos,14,0,100000,300,48,0,3.080967
DESKTOP-FUSRFCI,numpy,pesos,14,0,100000,300,48,1,2.964065
DESKTOP-FUSRFCI,numpy,pesos,14,0,100000,300,48,2,2.870710
DESKTOP-FUSRFCI,numpy,pesos,15,0,100000,300,48,0,3.235547
DESKTOP-FUSRFCI,numpy,pesos,15,0,100000,300,48,1,3.149006
DESKTOP-FUSRFCI,numpy,pesos,15,0,100000,300,48,2,3.489115
DESKTOP-FUSRFCI,numpy,pesos,16,0,100000,300,48,0,3.256652
DESKTOP-FUSRFCI,numpy,pesos,16,0,100000,300,48,1,3.310335
DESKTOP-FUSRFCI,numpy,pesos,16,0,100000,300,48,2,3.242785
DESKTOP-FUSRFCI,sklearn,indices,16,0,100000,300,48,0,57.949558
DESKTOP-FUSRFCI,sklearn,indices,16,0,100000,300,48,1,57.893836
DESKTOP-FUSRFCI,sklearn,indices,16,0,100000,300,48,2,57.833094
DESKTOP-FUSRFCI,sklearn,pesos,16,0,100000,300,48,0,35.786747
DESKTOP-FUSRFCI,sklearn,pesos,16,0,100000,300,48,1,35.909091
DESKTOP-FUSRFCI,sklearn,pesos,16,0,100000,300,48,2,35.628627
DESKTOP-FUSRFCI,auto,bagging,1,0,100000,300,48,0,80.867716
DESKTOP-FUSRFCI,auto,bagging,1,0,100000,300,48,1,63.036531
DESKTOP-FUSRFCI,auto,bagging,1,0,100000,300,48,2,60.266311
DESKTOP-FUSRFCI,auto,bagging,2,0,100000,300,48,0,52.978991
DESKTOP-FUSRFCI,auto,bagging,2,0,100000,300,48,1,53.685563
DESKTOP-FUSRFCI,auto,bagging,2,0,100000,300,48,2,53.474667
DESKTOP-FUSRFCI,auto,bagging,3,0,100000,300,48,0,52.331314
DESKTOP-FUSRFCI,auto,bagging,3,0,100000,300,48,1,52.473463
DESKTOP-FUSRFCI,auto,bagging,3,0,100000,300,48,2,52.639686
DESKTOP-FUSRFCI,auto,bagging,4,0,100000,300,48,0,53.278083
DESKTOP-FUSRFCI,auto,bagging,4,0,100000,300,48,1,52.033901
DESKTOP-FUSRFCI,auto,bagging,4,0,100000,300,48,2,50.644195
DESKTOP-FUSRFCI,auto,bagging,5,0,100000,300,48,0,52.717741
DESKTOP-FUSRFCI,auto,bagging,5,0,100000,300,48,1,52.086319
DESKTOP-FUSRFCI,auto,bagging,5,0,100000,300,48,2,52.668201
DESKTOP-FUSRFCI,auto,bagging,6,0,100000,300,48,0,52.487422
DESKTOP-FUSRFCI,auto,bagging,6,0,100000,300,48,1,52.228610
DESKTOP-FUSRFCI,auto,bagging,6,0,100000,300,48,2,52.615021
DESKTOP-FUSRFCI,auto,bagging,7,0,100000,300,48,0,53.166813
DESKTOP-FUSRFCI,auto,bagging,7,0,100000,300,48,1,53.278199
DESKTOP-FUSRFCI,auto,bagging,7,0,100000,300,48,2,53.797439
DESKTOP-FUSRFCI,auto,bagging,8,0,100000,300,48,0,54.671125
DESKTOP-FUSRFCI,auto,bagging,8,0,100000,300,48,1,54.665172
DESKTOP-FUSRFCI,auto,bagging,8,0,100000,300,48,2,54.659280
DESKTOP-FUSRFCI,auto,bagging,9,0,100000,300,48,0,52.564243
DESKTOP-FUSRFCI,auto,bagging,9,0,100000,300,48,1,52.924713
DESKTOP-FUSRFCI,auto,bagging,9,0,100000,300,48,2,52.618023
DESKTOP-FUSRFCI,auto,bagging,10,0,100000,300,48,0,53.180134
DESKTOP-FUSRFCI,auto,bagging,10,0,100000,300,48,1,53.371218
DESKTOP-FUSRFCI,auto,bagging,10,0,100000,300,48,2,53.377646
DESKTOP-FUSRFCI,auto,bagging,11,0,100000,300,48,0,54.055272
DESKTOP-FUSRFCI,auto,bagging,11,0,100000,300,48,1,53.922778
DESKTOP-FUSRFCI,auto,bagging,11,0,100000,300,48,2,53.930436
DESKTOP-FUSRFCI,auto,bagging,12,0,100000,300,48,0,55.210806
DESKTOP-FUSRFCI,auto,bagging,12,0,100000,300,48,1,55.543266
DESKTOP-FUSRFCI,auto,bagging,12,0,100000,300,48,2,55.177086
DESKTOP-FUSRFCI,auto,bagging,13,0,100000,300,48,0,56.173820
DESKTOP-FUSRFCI,auto,bagging,13,0,100000,300,48,1,55.727100
DESKTOP-FUSRFCI,auto,bagging,13,0,100000,300,48,2,56.172881
DESKTOP-FUSRFCI,auto,bagging,14,0,100000,300,48,0,57.251530
DESKTOP-FUSRFCI,auto,bagging,14,0,100000,300,48,1,57.110304
DESKTOP-FUSRFCI,auto,bagging,14,0,100000,300,48,2,57.071866
DESKTOP-FUSRFCI,auto,bagging,15,0,100000,300,48,0,58.419451
DESKTOP-FUSRFCI,auto,bagging,15,0,100000,300,48,1,58.390950
DESKTOP-FUSRFCI,auto,bagging,15,0,100000,300,48,2,58.354650
DESKTOP-FUSRFCI,auto,bagging,16,0,100000,300,48,0,59.184999
DESKTOP-FUSRFCI,auto,bagging,16,0,100000,300,48,1,59.375820
DESKTOP-FUSRFCI,auto,bagging,16,0,100000,300,48,2,59.662567
DESKTOP-FUSRFCI,sklearn,pesos,1,0,100000,300,48,0,34.642229
DESKTOP-FUSRFCI,sklearn,pesos,1,0,100000,300,48,1,34.240827
DESKTOP-FUSRFCI,sklearn,pesos,1,0,100000,300,48,2,34.126337
DESKTOP-FUSRFCI,sklearn,pesos,2,0,100000,300,48,0,31.557238
DESKTOP-FUSRFCI,sklearn,pesos,2,0,100000,300,48,1,31.739053
DESKTOP-FUSRFCI,sklearn,pesos,2,0,100000,300,48,2,31.736957
DESKTOP-FUSRFCI,sklearn,pesos,3,0,100000,300,48,0,28.265819
DESKTOP-FUSRFCI,sklearn,pesos,3,0,100000,300,48,1,31.178477
DESKTOP-FUSRFCI,sklearn,pesos,3,0,100000,300,48,2,29.436336
DESKTOP-FUSRFCI,sklearn,pesos,4,0,100000,300,48,0,31.838540
DESKTOP-FUSRFCI,sklearn,pesos,4,0,100000,300,48,1,30.495773
DESKTOP-FUSRFCI,sklearn,pesos,4,0,100000,300,48,2,31.066005
DESKTOP-FUSRFCI,sklearn,pesos,5,0,100000,300,48,0,31.146386
DESKTOP-FUSRFCI,sklearn,pesos,5,0,100000,300,48,1,31.001012
DESKTOP-FUSRFCI,sklearn,pesos,5,0,100000,300,48,2,31.277504
DESKTOP-FUSRFCI,sklearn,pesos,6,0,100000,300,48,0,31.729416
DESKTOP-FUSRFCI,sklearn,pesos,6,0,100000,300,48,1,31.669916
DESKTOP-FUSRFCI,sklearn,pesos,6,0,100000,300,48,2,31.582895
DESKTOP-FUSRFCI,sklearn,pesos,7,0,100000,300,48,0,32.219432
DESKTOP-FUSRFCI,sklearn,pesos,7,0,100000,300,48,1,32.564503
DESKTOP-FUSRFCI,sklearn,pesos,7,0,100000,300,48,2,32.525540
DESKTOP-FUSRFCI,sklearn,pesos,8,0,100000,300,48,0,33.490672
DESKTOP-FUSRFCI,sklearn,pesos,8,0,100000,300,48,1,33.244858
DESKTOP-FUSRFCI,sklearn,pesos,8,0,100000,300,48,2,33.472608
DESKTOP-FUSRFCI,sklearn,pesos,9,0,100000,300,48,0,32.121022
DESKTOP-FUSRFCI,sklearn,pesos,9,0,100000,300,48,1,32.032891
DESKTOP-FUSRFCI,sklearn,pesos,9,0,100000,300,48,2,31.939411
DESKTOP-FUSRFCI,sklearn,pesos,10,0,100000,300,48,0,32.309219
DESKTOP-FUSRFCI,sklearn,pesos,10,0,100000,300,48,1,32.395960
DESKTOP-FUSRFCI,sklearn,pesos,10,0,100000,300,48,2,32.429768
DESKTOP-FUSRFCI,sklearn,pesos,11,0,100000,300,48,0,32.895515
DESKTOP-FUSRFCI,sklearn,pesos,11,0,100000,300,48,1,32.893165
DESKTOP-FUSRFCI,sklearn,pesos,11,0,100000,300,48,2,32.975579
DESKTOP-FUSRFCI,sklearn,pesos,12,0,100000,300,48,0,33.504701
DESKTOP-FUSRFCI,sklearn,pesos,12,0,100000,300,48,1,33.885039
DESKTOP-FUSRFCI,sklearn,pesos,12,0,100000,300,48,2,33.495974
DESKTOP-FUSRFCI,sklearn,pesos,13,0,100000,300,48,0,33.768038
DESKTOP-FUSRFCI,sklearn,pesos,13,0,100000,300,48,1,33.804975
DESKTOP-FUSRFCI,sklearn,pesos,13,0,100000,300,48,2,33.818432
DESKTOP-FUSRFCI,sklearn,pesos,14,0,100000,300,48,0,34.119969
DESKTOP-FUSRFCI,sklearn,pesos,14,0,100000,300,48,1,34.206195
DESKTOP-FUSRFCI,sklearn,pesos,14,0,100000,300,48,2,34.127348
DESKTOP-FUSRFCI,sklearn,pesos,15,0,100000,300,48,0,34.752939
DESKTOP-FUSRFCI,sklearn,pesos,15,0,100000,300,48,1,34.766931
DESKTOP-FUSRFCI,sklearn,pesos,15,0,100000,300,48,2,34.832408
DESKTOP-FUSRFCI,sklearn,pesos,16,0,100000,300,48,0,35.365128
DESKTOP-FUSRFCI,sklearn,pesos,16,0,100000,300,48,1,35.661464
DESKTOP-FUSRFCI,sklearn,pesos,16,0,100000,300,48,2,35.514358
DESKTOP-FUSRFCI,numpy,pesos,1,0,100000,300,48,0,4.610185
DESKTOP-FUSRFCI,numpy,pesos,1,0,100000,300,48,1,4.506729
DESKTOP-FUSRFCI,numpy,pesos,1,0,100000,300,48,2,4.510918
DESKTOP-FUSRFCI,numpy,pesos,2,0,100000,300,48,0,4.512505
DESKTOP-FUSRFCI,numpy,pesos,2,0,100000,300,48,1,4.506415
DESKTOP-FUSRFCI,numpy,pesos,2,0,100000,300,48,2,4.655665
DESKTOP-FUSRFCI,numpy,pesos,3,0,100000,300,48,0,3.486554
DESKTOP-FUSRFCI,numpy,pesos,3,0,100000,300,48,1,3.530698
DESKTOP-FUSRFCI,numpy,pesos,3,0,100000,300,48,2,3.589702
DESKTOP-FUSRFCI,numpy,pesos,4,0,100000,300,48,0,3.424712
DESKTOP-FUSRFCI,numpy,pesos,4,0,100000,300,48,1,3.258048
DESKTOP-FUSRFCI,numpy,pesos,4,0,100000,300,48,2,3.167490
DESKTOP-FUSRFCI,numpy,pesos,5,0,100000,300,48,0,3.119444
DESKTOP-FUSRFCI,numpy,pesos,5,0,100000,300,48,1,3.047321
DESKTOP-FUSRFCI,numpy,pesos,5,0,100000,300,48,2,2.995378
DESKTOP-FUSRFCI,numpy,pesos,6,0,100000,300,48,0,2.827213
DESKTOP-FUSRFCI,numpy,pesos,6,0,100000,300,48,1,2.873637
DESKTOP-FUSRFCI,numpy,pesos,6,0,100000,300,48,2,2.887517
DESKTOP-FUSRFCI,numpy,pesos,7,0,100000,300,48,0,2.978071
DESKTOP-FUSRFCI,numpy,pesos,7,0,100000,300,48,1,2.930257
DESKTOP-FUSRFCI,numpy,pesos,7,0,100000,300,48,2,2.921878
DESKTOP-FUSRFCI,numpy,pesos,8,0,100000,300,48,0,3.035684
DESKTOP-FUSRFCI,numpy,pesos,8,0,100000,300,48,1,3.049901
DESKTOP-FUSRFCI,numpy,pesos,8,0,100000,300,48,2,3.069180
DESKTOP-FUSRFCI,numpy,pesos,9,0,100000,300,48,0,2.862179
DESKTOP-FUSRFCI,numpy,pesos,9,0,100000,300,48,1,2.817100
DESKTOP-FUSRFCI,numpy,pesos,9,0,100000,300,48,2,2.771108
DESKTOP-FUSRFCI,numpy,pesos,10,0,100000,300,48,0,2.742224
DESKTOP-FUSRFCI,numpy,pesos,10,0,100000,300,48,1,2.813012
DESKTOP-FUSRFCI,numpy,pesos,10,0,100000,300,48,2,2.736259
DESKTOP-FUSRFCI,numpy,pesos,11,0,100000,300,48,0,2.715530
DESKTOP-FUSRFCI,numpy,pesos,11,0,100000,300,48,1,2.730797
DESKTOP-FUSRFCI,numpy,pesos,11,0,100000,300,48,2,2.715559
